,Chutes a gol 1,Chutes a gol 2,Impedimentos 1,Impedimentos 2,Escanteios 1,Escanteios 2,Chutes fora 1,Chutes fora 2,Faltas 1,Faltas 2,Cartões amarelos 1,Cartões amarelos 2,Cartões vermelhos 1,Cartões vermelhos 2,Cruzamentos 1,Cruzamentos 2,Laterais 1,Laterais 2,Chutes bloqueados 1,Chutes bloqueados 2,Contra-ataques 1,Contra-ataques 2,Gols 1,Gols 2,Tiro de meta 1,Tiro de meta 2,Tratamentos 1,Tratamentos 2,SubstituiÃ§Ãµes 1,SubstituiÃ§Ãµes 2,Tiros-livres 1,Tiros-livres 2,Defesas difÃ­ceis 1,Defesas difÃ­ceis 2,Posse 1(%),Posse 2(%),Time 1,Time 2,Position 1,Position 2,Time 1 x Time 2,Resultado Time 1,Position 1 Score,Position 2 Score
6670,2.0,2.0,3.0,3.0,7.0,4.0,5.0,5.0,14.0,8.0,1.0,3.0,0.0,0.0,17.0,13.0,36.0,21.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,8.0,1.0,2.0,3.0,3.0,11.0,17.0,1.0,1.0,58.0,42.0,138,77,4-3-3,4-3-3,3072,1,0.78,0.78
619,1.0,5.0,0.0,1.0,0.0,11.0,0.0,4.0,12.0,6.0,5.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,39.0,61.0,126,133,3-5-1-1,4-4-2,2863,1,0.89,0.9
7898,5.0,1.0,5.0,2.0,9.0,1.0,11.0,3.0,25.0,15.0,2.0,1.0,0.0,0.0,13.0,15.0,13.0,6.0,4.0,0.0,1.0,1.0,2.0,1.0,8.0,13.0,0.0,1.0,2.0,3.0,14.0,14.0,2.0,3.0,40.0,60.0,277,185,4-3-1-2,4-3-3,6509,0,0.88,0.78
482,5.0,6.0,3.0,2.0,4.0,6.0,8.0,5.0,8.0,10.0,2.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,49.0,51.0,133,190,4-1-3-2,4-3-3,2974,0,0.82,0.78
26529,5.0,4.0,1.0,3.0,3.0,10.0,5.0,3.0,7.0,16.0,1.0,2.0,0.0,0.0,10.0,17.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,266,97,4-4-2,4-4-1-1,6194,0,0.9,0.91
14323,5.0,5.0,1.0,0.0,4.0,6.0,6.0,2.0,13.0,12.0,1.0,1.0,0.0,0.0,17.0,13.0,28.0,24.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,13.0,1.0,2.0,3.0,3.0,12.0,14.0,3.0,4.0,50.0,50.0,183,13,4-3-3,4-2-3-1,4211,1,0.78,0.87
12128,6.0,2.0,1.0,1.0,4.0,4.0,3.0,9.0,21.0,12.0,6.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,113,112,,,2586,0,,
7083,9.0,3.0,3.0,3.0,6.0,6.0,10.0,6.0,12.0,16.0,3.0,3.0,0.0,0.0,18.0,17.0,0.0,8.0,3.0,4.0,0.0,0.0,2.0,0.0,11.0,9.0,3.0,6.0,3.0,3.0,14.0,14.0,2.0,3.0,53.0,47.0,72,219,4-3-1-2,4-3-3,7297,0,0.88,0.78
27001,6.0,3.0,3.0,3.0,5.0,0.0,7.0,3.0,12.0,8.0,1.0,1.0,0.0,0.0,13.0,6.0,18.0,15.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,297,40,4-5-1,4-4-1-1,7249,0,0.95,0.91
5891,4.0,5.0,1.0,0.0,7.0,6.0,10.0,3.0,18.0,21.0,4.0,3.0,0.0,0.0,17.0,13.0,20.0,15.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,14.0,1.0,2.0,3.0,3.0,21.0,19.0,5.0,4.0,45.0,55.0,103,114,3-5-2,3-5-2,2334,1,0.85,0.85
26712,3.0,4.0,2.0,3.0,5.0,5.0,6.0,6.0,3.0,12.0,0.0,0.0,0.0,0.0,12.0,11.0,18.0,24.0,1.0,4.0,0.0,1.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,43.0,57.0,22,179,4-3-3,4-2-3-1,484,1,0.78,0.87
18454,5.0,5.0,1.0,0.0,7.0,3.0,6.0,3.0,11.0,12.0,1.0,1.0,0.0,0.0,17.0,13.0,34.0,30.0,2.0,2.0,1.0,1.0,0.0,1.0,6.0,14.0,1.0,2.0,3.0,3.0,12.0,12.0,4.0,5.0,53.0,47.0,96,291,4-2-3-1,4-4-2,2156,1,0.87,0.9
9716,8.0,1.0,3.0,0.0,7.0,4.0,5.0,4.0,11.0,11.0,2.0,1.0,0.0,0.0,30.0,14.0,12.0,13.0,0.0,1.0,2.0,2.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,48.0,52.0,103,233,4-2-3-1,4-2-3-1,2345,1,0.87,0.87
119,5.0,4.0,2.0,6.0,5.0,1.0,2.0,1.0,13.0,15.0,0.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,43.0,57.0,190,170,4-3-3,3-1-4-2,4410,0,0.78,0.8
24871,5.0,15.0,3.0,3.0,2.0,5.0,1.0,4.0,10.0,10.0,2.0,3.0,0.0,0.0,8.0,14.0,7.0,13.0,4.0,2.0,0.0,0.0,2.0,2.0,5.0,3.0,3.0,0.0,2.0,3.0,14.0,14.0,2.0,3.0,30.0,70.0,266,169,4-3-3,4-3-3,6198,1,0.78,0.78
12524,7.0,3.0,3.0,1.0,4.0,9.0,3.0,3.0,10.0,24.0,1.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,47.0,53.0,93,144,,,2067,0,,
26008,4.0,5.0,0.0,1.0,9.0,4.0,5.0,3.0,12.0,10.0,3.0,2.0,0.0,0.0,27.0,14.0,13.0,12.0,3.0,0.0,1.0,0.0,1.0,1.0,5.0,15.0,0.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,45.0,55.0,78,200,4-4-2,4-4-1-1,1770,1,0.9,0.91
18657,3.0,4.0,1.0,2.0,3.0,7.0,2.0,2.0,15.0,11.0,3.0,6.0,0.0,0.0,17.0,13.0,23.0,19.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,10.0,1.0,2.0,3.0,3.0,13.0,16.0,2.0,2.0,38.0,62.0,177,162,5-4-1,4-2-3-1,7281,1,0.98,0.87
10653,1.0,2.0,0.0,2.0,4.0,4.0,9.0,7.0,17.0,13.0,0.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,47.0,53.0,15,153,4-2-3-1,4-4-2,333,1,0.87,0.9
1455,4.0,2.0,2.0,0.0,2.0,7.0,6.0,7.0,9.0,13.0,2.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,5.0,3.0,14.0,14.0,2.0,3.0,39.0,61.0,242,292,3-4-2-1,3-5-2,5651,1,0.82,0.85
15189,6.0,5.0,1.0,0.0,6.0,6.0,1.0,2.0,14.0,13.0,1.0,3.0,0.0,0.0,17.0,13.0,34.0,27.0,2.0,2.0,1.0,1.0,3.0,3.0,6.0,5.0,1.0,2.0,3.0,3.0,13.0,15.0,2.0,3.0,51.0,49.0,272,188,4-3-3,4-2-3-1,6376,1,0.78,0.87
8725,1.0,3.0,2.0,0.0,5.0,5.0,11.0,1.0,12.0,15.0,1.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,3.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,213,236,3-5-2,4-3-3,4960,1,0.85,0.78
12890,4.0,4.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,4.0,4.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,250,113,,,5849,1,,
8623,1.0,1.0,2.0,3.0,10.0,7.0,8.0,3.0,11.0,14.0,4.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,55.0,45.0,213,249,3-4-2-1,3-4-2-1,4963,1,0.82,0.82
19938,11.0,3.0,4.0,3.0,12.0,6.0,17.0,5.0,9.0,9.0,4.0,4.0,0.0,1.0,41.0,8.0,10.0,5.0,2.0,4.0,1.0,0.0,0.0,0.0,6.0,20.0,2.0,3.0,1.0,2.0,14.0,14.0,2.0,3.0,64.0,36.0,228,176,4-2-3-1,4-2-3-1,5256,1,0.87,0.87
7533,5.0,2.0,1.0,2.0,4.0,5.0,6.0,6.0,23.0,22.0,3.0,3.0,0.0,0.0,35.0,17.0,10.0,10.0,4.0,3.0,2.0,2.0,1.0,2.0,7.0,8.0,0.0,7.0,3.0,3.0,14.0,14.0,2.0,3.0,57.0,43.0,289,106,4-2-3-1,4-3-3,7262,1,0.87,0.78
16043,6.0,8.0,1.0,2.0,2.0,8.0,5.0,8.0,11.0,8.0,1.0,1.0,0.0,0.0,10.0,18.0,1.0,0.0,5.0,1.0,1.0,0.0,3.0,2.0,9.0,10.0,2.0,0.0,3.0,3.0,14.0,14.0,2.0,3.0,42.0,58.0,272,167,4-1-2-1-2,4-3-1-2,6372,0,0.89,0.88
22792,4.0,1.0,2.0,1.0,8.0,4.0,5.0,2.0,16.0,10.0,2.0,3.0,0.0,0.0,17.0,13.0,31.0,23.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,9.0,1.0,2.0,3.0,3.0,11.0,18.0,1.0,1.0,72.0,28.0,1,130,4-3-3,4-3-3,7253,0,0.78,0.78
15761,10.0,1.0,3.0,3.0,4.0,3.0,4.0,2.0,14.0,10.0,0.0,2.0,0.0,1.0,17.0,10.0,6.0,3.0,2.0,0.0,1.0,1.0,3.0,0.0,3.0,11.0,0.0,3.0,3.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,183,230,4-3-3,4-4-2,4231,0,0.78,0.9
8937,4.0,6.0,5.0,0.0,4.0,10.0,4.0,8.0,21.0,16.0,4.0,2.0,0.0,1.0,10.0,14.0,7.0,11.0,1.0,0.0,1.0,0.0,3.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,49.0,51.0,114,158,4-4-2,4-4-2,2619,0,0.9,0.9
15321,3.0,5.0,0.0,2.0,9.0,2.0,4.0,6.0,17.0,18.0,2.0,2.0,0.0,0.0,14.0,9.0,11.0,14.0,4.0,1.0,1.0,2.0,0.0,1.0,9.0,6.0,0.0,1.0,3.0,3.0,14.0,14.0,2.0,3.0,41.0,59.0,125,173,4-4-2,4-3-1-2,2840,1,0.9,0.88
15277,5.0,7.0,5.0,2.0,3.0,13.0,4.0,10.0,14.0,10.0,2.0,0.0,0.0,0.0,17.0,13.0,14.0,14.0,2.0,2.0,1.0,1.0,2.0,2.0,19.0,6.0,1.0,2.0,3.0,3.0,12.0,19.0,5.0,3.0,35.0,65.0,13,211,4-2-3-1,4-3-3,279,1,0.87,0.78
676,2.0,9.0,1.0,0.0,2.0,5.0,3.0,7.0,19.0,8.0,2.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,49.0,51.0,235,118,4-1-4-1,4-2-3-1,5461,1,0.93,0.87
11646,4.0,4.0,2.0,3.0,8.0,4.0,4.0,6.0,17.0,13.0,1.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,54.0,46.0,16,112,,,348,1,,
19419,5.0,9.0,3.0,2.0,5.0,9.0,9.0,5.0,11.0,10.0,2.0,0.0,0.0,0.0,17.0,13.0,16.0,19.0,2.0,2.0,1.0,1.0,2.0,2.0,11.0,11.0,1.0,2.0,3.0,3.0,12.0,14.0,6.0,3.0,44.0,56.0,245,31,4-2-3-1,4-3-3,5709,1,0.87,0.78
10090,12.0,2.0,3.0,1.0,8.0,6.0,8.0,4.0,13.0,12.0,2.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,3.0,1.0,7.0,8.0,1.0,2.0,5.0,5.0,14.0,14.0,2.0,3.0,60.0,40.0,109,111,4-2-3-1,4-2-3-1,2476,0,0.87,0.87
17075,1.0,1.0,1.0,4.0,4.0,4.0,9.0,11.0,17.0,11.0,4.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,36.0,64.0,231,167,4-2-3-1,4-1-2-2-1,5353,1,0.87,0.91
4421,1.0,6.0,2.0,5.0,3.0,2.0,7.0,9.0,10.0,12.0,3.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,62.0,38.0,294,187,4-2-3-1,4-2-3-1,6880,1,0.87,0.87
9763,2.0,3.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,6.0,6.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,3.0,3.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,171,233,3-4-1-2,4-2-3-1,3893,1,0.84,0.87
4707,7.0,3.0,0.0,1.0,8.0,3.0,4.0,1.0,17.0,22.0,3.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,2.0,3.0,14.0,14.0,2.0,3.0,50.0,50.0,218,202,4-3-3,4-3-3,5045,1,0.78,0.78
23927,3.0,9.0,7.0,2.0,2.0,9.0,5.0,4.0,11.0,13.0,2.0,2.0,0.0,0.0,17.0,13.0,16.0,18.0,2.0,2.0,1.0,1.0,0.0,2.0,8.0,8.0,1.0,2.0,3.0,3.0,15.0,18.0,7.0,3.0,45.0,55.0,20,178,4-2-3-1,4-3-3,430,1,0.87,0.78
5455,8.0,4.0,1.0,1.0,8.0,3.0,14.0,3.0,12.0,9.0,3.0,1.0,0.0,0.0,17.0,13.0,21.0,17.0,2.0,2.0,1.0,1.0,5.0,1.0,9.0,19.0,1.0,2.0,3.0,3.0,10.0,13.0,3.0,3.0,50.0,50.0,23,244,3-4-3,4-3-3,528,0,0.76,0.78
14926,2.0,4.0,2.0,2.0,3.0,4.0,3.0,6.0,14.0,11.0,2.0,3.0,0.0,0.0,17.0,13.0,12.0,16.0,2.0,2.0,1.0,1.0,2.0,0.0,8.0,4.0,1.0,2.0,3.0,3.0,11.0,14.0,4.0,1.0,54.0,46.0,198,188,4-3-3,4-5-1,4603,0,0.78,0.95
95,5.0,2.0,3.0,1.0,13.0,6.0,9.0,4.0,12.0,9.0,1.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,69.0,31.0,68,128,4-3-3,4-2-3-1,1536,0,0.78,0.87
16213,6.0,1.0,5.0,3.0,3.0,5.0,4.0,5.0,16.0,17.0,2.0,4.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,4.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,55.0,45.0,47,5,4-4-2,4-4-2,1044,0,0.9,0.9
22689,6.0,3.0,2.0,3.0,5.0,3.0,3.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,22.0,11.0,23.0,19.0,6.0,1.0,0.0,3.0,2.0,2.0,3.0,8.0,0.0,1.0,3.0,5.0,14.0,14.0,2.0,3.0,56.0,44.0,255,293,5-3-2,3-5-2,5983,1,0.97,0.85
1953,9.0,9.0,4.0,2.0,7.0,3.0,8.0,8.0,9.0,9.0,1.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,2.0,14.0,14.0,2.0,3.0,52.0,48.0,99,247,4-4-2,4-4-2,2238,0,0.9,0.9
929,6.0,3.0,2.0,4.0,6.0,3.0,11.0,2.0,11.0,16.0,1.0,3.0,1.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,53.0,47.0,3,128,4-2-3-1,4-2-3-1,57,0,0.87,0.87
20537,3.0,2.0,6.0,2.0,7.0,4.0,5.0,2.0,20.0,15.0,8.0,1.0,0.0,0.0,35.0,21.0,12.0,7.0,6.0,2.0,1.0,1.0,1.0,0.0,6.0,13.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,226,176,4-2-3-1,4-2-3-1,5204,0,0.87,0.87
8403,1.0,1.0,5.0,1.0,5.0,4.0,4.0,4.0,19.0,10.0,2.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,57.0,43.0,158,249,4-5-1,3-4-2-1,3567,0,0.95,0.82
3271,2.0,3.0,1.0,2.0,5.0,6.0,2.0,7.0,8.0,9.0,3.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,0.0,0.0,14.0,14.0,2.0,3.0,43.0,57.0,261,44,4-4-2,4-3-3,6081,1,0.9,0.78
4122,6.0,8.0,4.0,2.0,4.0,3.0,4.0,6.0,14.0,6.0,1.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,5.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,45.0,55.0,261,260,4-4-2,4-2-3-1,6094,1,0.9,0.87
12711,4.0,4.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,3.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,89,95,,,1978,1,,
27090,8.0,3.0,2.0,2.0,8.0,3.0,6.0,2.0,10.0,11.0,0.0,0.0,0.0,0.0,16.0,10.0,21.0,23.0,2.0,2.0,1.0,1.0,0.0,3.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,50.0,50.0,297,262,4-5-1,4-4-2,6963,1,0.95,0.9
24912,6.0,4.0,2.0,2.0,3.0,2.0,8.0,1.0,11.0,14.0,0.0,2.0,0.0,0.0,19.0,14.0,9.0,5.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,11.0,2.0,6.0,2.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,253,298,4-3-3,4-4-2,5943,1,0.78,0.9
18275,2.0,3.0,0.0,2.0,4.0,13.0,3.0,3.0,6.0,7.0,2.0,2.0,0.0,0.0,17.0,13.0,18.0,10.0,2.0,2.0,1.0,1.0,2.0,1.0,12.0,7.0,1.0,2.0,3.0,3.0,9.0,6.0,2.0,0.0,33.0,67.0,60,283,4-5-1,4-4-2,7302,0,0.95,0.9
7749,0.0,7.0,2.0,3.0,5.0,4.0,3.0,6.0,12.0,18.0,1.0,5.0,0.0,0.0,15.0,9.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,4.0,0.0,6.0,3.0,3.0,14.0,14.0,2.0,3.0,39.0,61.0,277,233,3-5-1-1,4-3-3,6514,1,0.89,0.78
27527,5.0,5.0,0.0,1.0,10.0,6.0,8.0,3.0,13.0,8.0,2.0,3.0,0.0,0.0,14.0,7.0,11.0,10.0,3.0,3.0,1.0,2.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,51.0,49.0,262,40,4-4-2,4-4-2,7278,1,0.9,0.9
4368,8.0,7.0,0.0,1.0,3.0,6.0,4.0,6.0,17.0,13.0,3.0,0.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,56.0,44.0,168,203,4-4-1-1,4-3-3,3817,1,0.91,0.78
8691,6.0,2.0,3.0,3.0,1.0,9.0,6.0,7.0,13.0,17.0,1.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,6.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,46.0,54.0,158,45,4-4-2,4-2-3-1,3541,0,0.9,0.87
6767,6.0,4.0,3.0,0.0,6.0,8.0,5.0,3.0,8.0,6.0,2.0,0.0,0.0,0.0,17.0,13.0,13.0,19.0,2.0,2.0,1.0,1.0,3.0,0.0,8.0,7.0,1.0,2.0,3.0,3.0,6.0,11.0,4.0,3.0,51.0,49.0,143,240,4-3-3,4-3-1-2,3199,0,0.78,0.88
26267,5.0,2.0,4.0,1.0,6.0,4.0,12.0,8.0,6.0,7.0,1.0,2.0,0.0,0.0,15.0,10.0,22.0,12.0,1.0,0.0,1.0,1.0,1.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,53.0,47.0,107,22,4-4-2,4-3-3,2406,0,0.9,0.78
6890,4.0,4.0,2.0,2.0,5.0,4.0,6.0,5.0,12.0,13.0,2.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,3.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,92,143,4-3-1-2,3-5-2,2041,1,0.88,0.85
3655,3.0,6.0,1.0,1.0,3.0,2.0,8.0,4.0,13.0,11.0,1.0,2.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,4.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,52.0,48.0,52,187,4-3-3,4-2-3-1,1150,1,0.78,0.87
8543,1.0,1.0,3.0,5.0,3.0,8.0,4.0,5.0,14.0,8.0,2.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,43.0,57.0,236,143,3-5-2,3-5-2,5487,1,0.85,0.85
25510,3.0,4.0,2.0,1.0,5.0,7.0,8.0,6.0,3.0,10.0,0.0,1.0,0.0,0.0,13.0,11.0,4.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,0.0,1.0,3.0,2.0,14.0,14.0,2.0,3.0,45.0,55.0,58,298,4-4-1-1,4-3-3,1304,1,0.91,0.78
4476,3.0,5.0,3.0,2.0,8.0,6.0,11.0,5.0,12.0,7.0,1.0,3.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,0.0,1.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,42.0,58.0,100,294,3-5-2,4-4-1-1,2266,1,0.85,0.91
26720,9.0,6.0,2.0,0.0,7.0,2.0,2.0,3.0,8.0,7.0,3.0,2.0,0.0,1.0,23.0,14.0,21.0,22.0,2.0,1.0,1.0,1.0,4.0,2.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,53.0,47.0,200,197,4-4-2,4-4-2,4658,0,0.9,0.9
6206,2.0,5.0,4.0,3.0,4.0,6.0,2.0,9.0,11.0,10.0,4.0,2.0,0.0,0.0,17.0,13.0,18.0,21.0,2.0,2.0,1.0,1.0,1.0,1.0,11.0,4.0,1.0,2.0,3.0,3.0,13.0,15.0,4.0,1.0,40.0,60.0,72,158,4-3-1-2,3-5-2,1648,1,0.88,0.85
1390,3.0,6.0,2.0,3.0,4.0,5.0,7.0,2.0,13.0,11.0,1.0,0.0,0.0,1.0,37.0,24.0,26.0,18.0,1.0,3.0,1.0,1.0,1.0,2.0,0.0,6.0,6.0,3.0,5.0,5.0,14.0,14.0,2.0,3.0,49.0,51.0,147,306,3-4-2-1,4-2-3-1,3302,1,0.82,0.87
25853,3.0,7.0,4.0,0.0,6.0,7.0,9.0,2.0,10.0,8.0,1.0,2.0,0.0,0.0,13.0,23.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,3.0,6.0,8.0,0.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,30.0,70.0,266,20,4-4-2,4-2-3-1,6183,1,0.9,0.87
14532,5.0,6.0,2.0,2.0,6.0,3.0,5.0,5.0,18.0,10.0,2.0,1.0,0.0,0.0,17.0,13.0,38.0,22.0,2.0,2.0,1.0,1.0,0.0,1.0,10.0,10.0,1.0,2.0,3.0,3.0,10.0,18.0,5.0,5.0,55.0,45.0,13,183,4-2-3-1,4-3-3,273,1,0.87,0.78
3091,3.0,4.0,3.0,3.0,3.0,3.0,1.0,5.0,10.0,16.0,2.0,1.0,0.0,0.0,17.0,13.0,16.0,15.0,2.0,2.0,1.0,1.0,1.0,2.0,7.0,8.0,1.0,2.0,4.0,3.0,14.0,14.0,2.0,3.0,50.0,50.0,52,234,4-3-3,4-3-3,1153,1,0.78,0.78
11791,8.0,4.0,3.0,3.0,11.0,3.0,5.0,2.0,11.0,18.0,0.0,2.0,0.0,0.0,12.0,6.0,8.0,4.0,4.0,0.0,4.0,2.0,1.0,0.0,3.0,9.0,9.0,4.0,3.0,3.0,14.0,14.0,2.0,3.0,61.0,39.0,37,232,4-2-3-1,4-2-3-1,847,0,0.87,0.87
19204,6.0,9.0,5.0,2.0,7.0,5.0,5.0,3.0,11.0,10.0,1.0,4.0,0.0,0.0,17.0,13.0,16.0,16.0,2.0,2.0,1.0,1.0,3.0,6.0,8.0,8.0,1.0,2.0,3.0,3.0,12.0,16.0,3.0,3.0,58.0,42.0,38,283,4-3-3,4-4-2,878,1,0.78,0.9
9428,4.0,3.0,4.0,0.0,5.0,2.0,11.0,7.0,13.0,18.0,2.0,2.0,0.0,0.0,28.0,28.0,13.0,23.0,0.0,4.0,2.0,0.0,2.0,0.0,7.0,8.0,1.0,2.0,3.0,3.0,14.0,14.0,2.0,3.0,34.0,66.0,236,138,4-3-2-1,4-3-1-2,5486,0,0.9,0.88
